Kabupaten,Kecamatan,luas
JAKARTA BARAT,CENGKARENG,26.55
JAKARTA BARAT,GROGOL PETAMBURAN,9.99
JAKARTA BARAT,KALI DERES,30.23
JAKARTA BARAT,KEBON JERUK,17.63
JAKARTA BARAT,KEMBANGAN,24.17
JAKARTA BARAT,PALMERAH,7.51
JAKARTA BARAT,TAMAN SARI,7.74
JAKARTA BARAT,TAMBORA,5.4
JAKARTA PUSAT,CEMPAKA PUTIH,4.7
JAKARTA PUSAT,GAMBIR,7.59
JAKARTA PUSAT,JOHAR BARU,2.37
JAKARTA PUSAT,KEMAYORAN,7.25
JAKARTA PUSAT,MENTENG,6.53
JAKARTA PUSAT,SAWAH BESAR,6.16
JAKARTA PUSAT,SENEN,4.23
JAKARTA PUSAT,TANAH ABANG,9.3
JAKARTA SELATAN,CILANDAK,18.16
JAKARTA SELATAN,JAGAKARSA,24.88
JAKARTA SELATAN,KEBAYORAN BARU,12.92
JAKARTA SELATAN,KEBAYORAN LAMA,16.74
JAKARTA SELATAN,MAMPANG PRAPATAN,7.74
JAKARTA SELATAN,PANCORAN,8.53
JAKARTA SELATAN,PASAR MINGGU,21.71
JAKARTA SELATAN,PESANGGRAHAN,13.46
JAKARTA SELATAN,SETIA BUDI,8.86
JAKARTA SELATAN,TEBET,9.03
JAKARTA TIMUR,CAKUNG,42.27
JAKARTA TIMUR,CIPAYUNG,28.46
JAKARTA TIMUR,CIRACAS,16.08
JAKARTA TIMUR,DUREN SAWIT,22.66
JAKARTA TIMUR,JATINEGARA,10.26
JAKARTA TIMUR,KRAMAT JATI,13.3
JAKARTA TIMUR,MAKASAR,21.86
JAKARTA TIMUR,MATRAMAN,4.88
JAKARTA TIMUR,PASAR REBO,12.97
JAKARTA TIMUR,PULO GADUNG,15.6
JAKARTA UTARA,CILINCING,37.7
JAKARTA UTARA,KELAPA GADING,16.12
JAKARTA UTARA,KOJA,13.21
JAKARTA UTARA,PADEMANGAN,9.91
JAKARTA UTARA,PENJARINGAN,34.48
JAKARTA UTARA,TANJUNG PRIOK,25.12
KABUPATEN ADMINITRATIF KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,3.05
KABUPATEN ADMINITRATIF KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,5.65
